"","userID","age","sex","edu","major","work","IAT","self","HPC","perf","impr"
"849","U851",28,"M","Univ",FALSE,FALSE,35,3,9,48,4
"850","U852",20,"F","Univ",FALSE,TRUE,35,1,11,51,2
"851","U853",23,"M","High",FALSE,TRUE,18,5,8,55,-4
"852","U854",27,"F","Univ",FALSE,TRUE,38,4,12,61,-4
"853","U855",29,"F","Grad",FALSE,TRUE,35,2,13,49,4
"854","U856",30,"M","Univ",FALSE,TRUE,25,3,8,58,-6
"855","U857",27,"M","GradO",FALSE,FALSE,22,1,16,55,-7
"856","U858",25,"M","Univ",FALSE,TRUE,24,5,13,58,-5
"857","U859",33,"M","GradO",FALSE,FALSE,22,4,9,55,-8
"858","U860",21,"M","Univ",FALSE,FALSE,38,2,5,47,11
"859","U861",24,"F","Univ",FALSE,FALSE,31,3,5,50,0
"860","U862",30,"M","Univ",FALSE,FALSE,26,1,9,52,0
"861","U863",27,"M","GradO",FALSE,FALSE,32,5,9,53,-2
"862","U864",29,"F","Univ",FALSE,TRUE,39,4,10,53,1
"863","U865",27,"F","Univ",FALSE,TRUE,30,2,6,58,-6
"864","U866",22,"F","UnivO",FALSE,TRUE,32,3,5,50,-2
"865","U867",24,"F","Univ",FALSE,FALSE,30,1,7,55,-1
"866","U868",23,"M","Univ",FALSE,TRUE,35,5,12,49,8
"867","U869",25,"F","Univ",FALSE,TRUE,35,4,8,57,-5
"868","U870",30,"F","GradO",FALSE,FALSE,27,2,10,50,5
"869","U871",21,"F","High",FALSE,FALSE,20,3,12,45,3
"870","U872",21,"M","UnivO",FALSE,TRUE,28,1,11,58,-6
"871","U873",23,"M","UnivO",FALSE,FALSE,29,5,11,44,6
"872","U874",25,"F","Univ",FALSE,TRUE,34,4,13,56,-7
"873","U875",34,"M","UnivO",TRUE,TRUE,34,2,8,54,1
"874","U876",25,"F","GradO",FALSE,TRUE,41,3,7,48,3
"875","U877",26,"F","Univ",FALSE,TRUE,40,1,15,50,6
"876","U878",25,"M","GradO",FALSE,TRUE,25,5,8,59,-9
"877","U879",29,"F","Univ",FALSE,TRUE,32,4,13,55,2
"878","U880",28,"M","Univ",FALSE,FALSE,22,2,16,57,-4
"879","U881",30,"M","Univ",FALSE,TRUE,33,3,9,52,-1
"880","U882",26,"M","Univ",FALSE,TRUE,42,1,10,61,0
"881","U883",29,"F","Univ",FALSE,TRUE,25,5,11,56,0
"882","U884",29,"F","Univ",FALSE,TRUE,28,4,13,61,-6
"883","U885",31,"M","High",FALSE,TRUE,26,2,14,55,-1
"884","U886",21,"M","Grad",TRUE,TRUE,32,3,13,51,0
"885","U887",27,"M","GradO",FALSE,FALSE,34,1,12,58,-4
"886","U888",25,"F","GradO",FALSE,FALSE,26,5,18,53,2
"887","U889",27,"M","UnivO",FALSE,TRUE,28,4,17,55,-4
"888","U890",24,"M","Univ",FALSE,TRUE,32,2,12,47,10
"889","U891",22,"M","Univ",TRUE,TRUE,35,3,8,58,-3
"890","U892",33,"M","UnivO",FALSE,TRUE,31,1,14,58,-8
"891","U893",29,"M","Univ",FALSE,TRUE,29,5,14,55,-5
"892","U894",27,"M","GradO",FALSE,TRUE,29,4,19,51,1
"893","U895",24,"F","High",FALSE,TRUE,29,2,7,54,-1
"894","U896",25,"M","High",FALSE,FALSE,45,3,10,49,2
"895","U897",31,"F","Univ",FALSE,FALSE,35,1,8,59,-4
"896","U898",31,"F","UnivO",TRUE,TRUE,32,5,11,54,1
"897","U899",22,"M","GradO",FALSE,TRUE,34,4,15,53,-5
"898","U900",39,"M","High",FALSE,TRUE,30,2,13,49,3
"899","U901",29,"M","Univ",FALSE,TRUE,28,3,8,49,-1
"900","U902",29,"F","Univ",FALSE,FALSE,31,1,10,42,11
"901","U903",22,"F","Univ",FALSE,TRUE,32,5,7,56,-2
"902","U904",29,"F","GradO",FALSE,TRUE,27,4,5,60,-6
"903","U905",21,"F","UnivO",FALSE,TRUE,38,2,10,49,4
"904","U906",24,"F","HighO",FALSE,TRUE,35,3,14,51,5
"905","U907",24,"F","UnivO",FALSE,TRUE,18,1,7,50,4
"906","U908",26,"M","UnivO",FALSE,FALSE,31,5,17,57,-7
"907","U909",34,"M","Univ",FALSE,TRUE,41,4,5,50,4
"908","U910",25,"F","Univ",FALSE,TRUE,24,2,10,58,-5
"909","U911",24,"F","Univ",TRUE,TRUE,30,3,13,51,0
"910","U912",29,"F","Univ",FALSE,TRUE,29,1,5,56,-3
"911","U913",26,"M","HighO",FALSE,FALSE,23,5,5,53,-6
"912","U914",25,"M","Univ",FALSE,TRUE,35,4,13,56,-2
"913","U915",27,"M","Univ",TRUE,TRUE,44,2,9,57,-5
"914","U916",26,"M","Univ",FALSE,TRUE,27,3,15,50,3
"915","U917",28,"F","HighO",FALSE,TRUE,33,1,10,51,2
"916","U918",22,"F","UnivO",FALSE,FALSE,24,5,15,49,4
"917","U919",22,"M","High",FALSE,TRUE,32,4,13,43,11
"918","U920",32,"M","Univ",FALSE,TRUE,21,2,12,55,2
"919","U921",28,"M","GradO",FALSE,TRUE,30,3,6,60,-2
"920","U922",30,"M","Univ",FALSE,FALSE,37,1,12,44,12
"921","U923",27,"M","Univ",FALSE,FALSE,19,5,7,50,3
"922","U924",25,"F","Grad",TRUE,FALSE,25,4,13,62,-7
"923","U925",28,"F","Univ",FALSE,FALSE,33,2,6,46,6
"924","U926",26,"F","GradO",FALSE,TRUE,35,3,15,57,-5
"925","U927",32,"M","UnivO",FALSE,TRUE,40,1,13,51,-3
"926","U928",31,"F","UnivO",FALSE,TRUE,32,5,7,61,-2
"927","U929",26,"M","UnivO",FALSE,TRUE,41,4,6,60,-3
"928","U930",27,"M","High",FALSE,TRUE,30,2,8,55,-2
"929","U931",24,"F","Univ",FALSE,FALSE,39,3,13,47,6
"930","U932",22,"F","UnivO",FALSE,TRUE,23,1,5,43,13
"931","U933",25,"M","Univ",FALSE,TRUE,32,5,10,49,7
"932","U934",29,"F","GradO",FALSE,TRUE,32,4,12,50,4
"933","U935",25,"F","Grad",FALSE,TRUE,30,2,13,58,-2
"934","U936",30,"M","UnivO",FALSE,TRUE,33,3,12,52,3
"935","U937",27,"F","Univ",FALSE,FALSE,20,1,11,49,6
"936","U938",28,"F","Univ",FALSE,TRUE,25,5,7,60,-11
"937","U939",27,"M","Grad",FALSE,FALSE,27,4,12,47,7
"938","U940",30,"M","HighO",FALSE,TRUE,34,2,11,57,-7
"939","U941",21,"M","Univ",FALSE,FALSE,16,3,6,43,16
"940","U942",30,"F","GradO",TRUE,FALSE,17,1,6,57,-1
"941","U943",49,"F","Univ",TRUE,TRUE,34,5,8,55,1
"942","U944",32,"M","Univ",FALSE,TRUE,17,4,14,55,1
"943","U945",30,"F","HighO",FALSE,TRUE,25,2,6,55,-5
"944","U946",29,"F","UnivO",FALSE,FALSE,35,3,11,44,10
"945","U947",26,"M","High",FALSE,TRUE,25,1,12,57,-5
"946","U948",25,"F","Univ",FALSE,TRUE,22,5,8,64,-10
"947","U949",30,"M","Univ",FALSE,FALSE,29,4,11,57,-3
"948","U950",25,"F","High",FALSE,TRUE,27,2,9,60,-11
"949","U951",33,"F","Univ",FALSE,TRUE,18,3,11,55,-3
"950","U952",20,"F","Univ",FALSE,FALSE,31,1,5,49,4
"951","U953",27,"M","Univ",FALSE,TRUE,30,5,13,60,-10
"952","U954",46,"M","High",FALSE,FALSE,35,4,13,48,1
"953","U955",49,"M","High",FALSE,TRUE,29,2,8,53,-2
"954","U956",24,"F","Univ",FALSE,TRUE,32,3,14,46,5
"955","U957",48,"M","High",FALSE,TRUE,33,1,14,53,4
